T	B0(fm^4)	D0(fm^4/GeV)	E0(fm^4/GeV^2)
100	-17.5385	0	396.288
101	-16.0475	0	366.421
102	-14.6972	0	339.03
103	-13.4727	0	313.889
104	-12.3613	0	290.791
105	-11.3513	0	269.555
106	-10.4327	0	250.013
107	-9.59625	0	232.017
108	-8.83391	0	215.432
109	-8.13845	0	200.136
110	-7.50341	0	186.02
111	-6.92301	0	172.984
112	-6.39209	0	160.938
113	-5.90601	0	149.799
114	-5.46062	0	139.493
115	-5.05216	0	129.953
116	-4.67729	0	121.116
117	-4.33298	0	112.926
118	-4.01648	0	105.332
119	-3.72535	0	98.2868
120	-3.45735	0	91.7478
121	-3.21047	0	85.6756
122	-2.9829		0	80.0344
123	-2.77299	0	74.7912
124	-2.57923	0	69.9158
125	-2.40027	0	65.3805
126	-2.23488	0	61.1598
127	-2.08193	0	57.2305
128	-1.94041	0	53.5709
129	-1.80939	0	50.1612
130	-1.68801	0	46.9833
131	-1.57551	0	44.0202
132	-1.47118	0	41.2566
133	-1.37438	0	38.678
134	-1.28451	0	36.2714
135	-1.20104	0	34.0244
136	-1.12348	0	31.9259
137	-1.05136	0	29.9654
138	-0.984286	0	28.1332
139	-0.921863	0	26.4205
140	-0.863745	0	24.819
141	-0.809611	0	23.321
142	-0.759167	0	21.9194
143	-0.71214	0	20.6077
144	-0.668279	0	19.3797
145	-0.627356	0	18.2298
146	-0.589157	0	17.1527
147	-0.553487	0	16.1435
148	-0.520165	0	15.1978
149	-0.489024	0	14.3112
150	-0.459911	0	13.4799
151	-0.432683	0	12.7002
152	-0.407209	0	11.9687
153	-0.383366	0	11.2823
154	-0.361042	0	10.638
155	-0.340134	0	10.0331
156	-0.320543	0	9.46499
157	-0.302182	0	8.93139
158	-0.284966	0	8.43003
159	-0.268819	0	7.95886
160	-0.253669	0	7.51594
161	-0.23945	0	7.09949
162	-0.2261		0	6.70783
163	-0.213563	0	6.33938
164	-0.201784	0	5.9927
165	-0.190715	0	5.66641
166	-0.180309	0	5.35925
167	-0.170524	0	5.07002
168	-0.161319	0	4.79762
169	-0.152658	0	4.54099
170	-0.144505	0	4.29918
171	-0.13683	0	4.07127
172	-0.129601	0	3.85641
173	-0.12279	0	3.65381
174	-0.116372	0	3.46272
175	-0.110322	0	3.28244
176	-0.104617	0	3.11233
177	-0.0992364	0	2.95177
178	-0.0941596	0	2.80019
179	-0.0893683	0	2.65705
180	-0.0848452	0	2.52186
181	-0.0805741	0	2.39414
182	-0.0765396	0	2.27344
183	-0.0727278	0	2.15937
184	-0.0691252	0	2.05152
185	-0.0657194	0	1.94954
186	-0.0624988	0	1.85308
187	-0.0594525	0	1.76183
188	-0.0565702	0	1.67547
189	-0.0538424	0	1.59374
190	-0.0512601	0	1.51636
191	-0.0488149	0	1.44309
192	-0.0464988	0	1.37368
193	-0.0443045	0	1.30793
194	-0.042225	0	1.24563
195	-0.0402538	0	1.18658
196	-0.0383847	0	1.13059
197	-0.0366119	0	1.0775
198	-0.0349302	0	1.02715
199	-0.0333344	0	0.979382
200	-0.0318196	0	0.934053
